ISSID,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,type,type_id,Violent_or_violent,violent,Rangecode,Reasonforprotest,Location 1
201,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town CBD,WC - Cape Town Central,"-33.926329,18.422338",N2,N2,06/09/2013 12:00:00 AM,06/09/2013 12:00:00 AM,1,Service delivery,9,Violent,1,3,"Group of men from Makhaza, Khayelitsha emptied two portable tanks of excrement at the Protea Assurance Building, which houses the provincial departments of cultural affairs and sport and agriculture. The building is less than 200m from the provincial legislature.","9
(-33.926329, 18.422338)"
202,Western Cape - City of Cape Town,1,0,Cape Town,"Manenberg, Heideveld, Hanover Park and Ottery",WC - Manenberg,"-33.98382,18.555222",Phillipi Ring road,Phillipi Ring road,06/10/2013 12:00:00 AM,06/10/2013 12:00:00 AM,1,Service delivery,9,Violent,1,3,"The city said it applied for the interdict after Proudly Manenberg, led by Wanza and his associates, orchestrated a series of violent, obstructive actions to interfere with the work of contractors appointed by the city to upgrade the units","9
(-33.98382, 18.555222)"
198,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.814001,31.000152",uMngeni Road,M19,06/11/2013 12:00:00 AM,06/12/2013 12:00:00 AM,1,Labour related,4,Violent,1,5,"Workers employed by Rumdel Cape/EXR Joint Venture downed tools four weeks ago demanding a R12 000 project bonus, and every day these workers have been protesting at the construction site","6
(-29.814001, 31.000152)"
181,Western Cape - City of Cape Town,1,0,Cape Town,"CTICC, Cape Town",WC - Cape Town Central,"-33.916575,18.428766",Heerengracht street,Heerengracht street,06/12/2013 12:00:00 AM,06/12/2013 12:00:00 AM,0,Political causes,5,Peaceful,0,5,Right2Know Campaign march in Cape Town to call for free basic and affordable telecommunications.,"9
(-33.916575, 18.428766)"
200,Limpopo - Polokwane,0,0,Polokwane,"Mankweng Hospital, Turfloop",LP - Polokwane,"-23.886584,29.727747",Excelsior Street,Exelsior Street,06/12/2013 12:00:00 AM,06/12/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,1,"Nurses, under the banner of Democratic Nursing Organisation of South Africa (DENOSA) and doctors from South Africa Medical Association (SAMA) embarked on a march to the Mankweng Hospital outside Polokwane, together with Treatment Action Campaign (TAC), South African Council of Churches (SACC), retired nurses and COSATU in the province concerning the challenges at the hospital and also launching of a Positive Practice Environment (PPE) campaign in the province, which is a call for a safer and conducive environment in healthcare facilities for health professionals to work under as well as for patients to recuperate.","8
(-23.886583, 29.727747)"
236,Western Cape - City of Cape Town,1,0,Cape Town,Western Cape High Court,WC - Dieprivier,"-33.931992,18.4443",High st,High st,06/12/2013 12:00:00 AM,06/12/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"Dressed in their school uniforms, 61 members of the school’s student representative council (SRC) protested against school, The Western Cape High Court was hearing a review of Grant’s decision to close 20 of the 27 schools he had initially identified for possible closure last year. The majority of the schools which had been closed were small, rural schools which relied on multigrade teaching and had low pupil numbers.","9
(-33.931992, 18.444299)"
219,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Plowright Ln,Monty Naicker Rd,06/13/2013 12:00:00 AM,06/13/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,1,"(Nehawu) members marched in Durban on Thursday, demanding the dismissal of the provincial health chief, Dr Sibongile Zungu, in a memorandum handed to health MEC Sibongiseni Dhlomo.  The union wants vacant posts to be filled and compliance by the province with the National Health Act.","6
(-29.857529, 31.019141)"
233,KwaZulu Natal - eThekwini,1,0,Durban,Jadhu Place squatter camp,KZN - Durban Central,"-29.823072,30.998657",Alpine Road,Alpine Road,06/13/2013 12:00:00 AM,06/13/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"residents were demanding land, housing, electricity, water, and speed humps in Alpine Road.","6
(-29.823072, 30.998657)"
235,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town provincial legislature,WC - Cape Town Central,"-33.924183,18.418705",7 Wale Street,7 Wale Street,06/13/2013 12:00:00 AM,06/13/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,3,"Hundreds of ANC supporters marched to the provincial legislature on Thursday over poor service delivery, school closures, the DA’s perceived racism and dissatisfaction with the way the MyCiTi bus service is being implemented.","9
(-33.924182, 18.418704)"
220,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Not applicable,Not applicable,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,1,"Taxi drivers from all over KwaZulu-Natal are threatening to bring the province to a halt today when they embark on a stayaway strike demanding, among other things, to be employed permanently and not to have traffic officials harass them about warrants of arrest","6
(-29.857529, 31.019141)"
221,North West - Rustenburg,0,0,Rustenburg,"Anglo American Platinum, Thembelani shaft",NW - Rustenburg,"-25.654835,27.23321",Not applicable,Not applicable,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"Workers from the Association of Mineworkers and Construction Union (Amcu) at the company’s Thembelani shaft have, since the 4am shift started, refused to come up from underground because they want their leadership's suspension lifted, according to George Tyobeka, an Amcu leader. Four Amcu leaders had been suspended amid allegations they submitted fraudulent membership applications in a bid to inflate union membership numbers.","5
(-25.654834, 27.23321)"
222,KwaZulu Natal - eThekwini,1,0,Durban,Addington Hospital,KZN - Durban Central,"-29.861874,31.040613",Prince street,Masonic Rd,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"The Health and Other Service Personnel Trade Union (Hospersa) picketed about the fact that the hospital's two radiotherapy machines were left idle for five months.  In a memorandum, they demanded an explanation from health MEC Sibongiseni Dhlomo.","6
(-29.861874, 31.040613)"
223,Mpumalanga - Bushbuckridge,0,1,Bushbuckridge,Moloro village,MP - Bushbuckridge,"-24.612738,30.973347",Not applicable,Not applicable,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Bushbuckridge Residents' Association (BRA), which won Ward 15 in the 2009 elections, accused Mabuza of visiting the area without consulting, or at least informing, BRA councilor Delta Mokoena. David ""DD"" Mabuza  was called an ""immature and confused"" politician who disguised ANC campaigns as government service delivery.","7
(-24.612738, 30.973347)"
254,Western Cape - City of Cape Town,1,0,Woodstock,Esplanade train station,WC - Woodstock,"-33.92382,18.445411",Old Marine Dr,Beach Rd,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"183 people were arrested on public violence charges at the Esplanade train station in Woodstock for carrying portable flush toilets and human waste in blue municipal bags placed in milk crates, in a protest about portable flush toilets (PFTs).","9
(-33.923819, 18.445411)"
259,Mpumalanga - Nkangala,0,0,Hendrina,Kwazamokuhle,MP - Hendrina,"-26.133654,29.733928",Arnot - Hendrina road,Arnot - Hendrina road,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"The people of Kwazamokuhle and Hendrina want a Police Station in Kwazamokuhle, a 24 hour Clinic and English Medium Schools - all before the 2014 elections.","7
(-26.133654, 29.733927)"
350,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857966,31.019066",Monty Naicker Rd,Monty Naicker Rd,06/14/2013 12:00:00 AM,06/14/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,South African National Taxi Council secretary general Philip Taaibosch said the drivers were demanding formalised employment in the industry.,"6
(-29.857966, 31.019065)"
226,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Monty Naicker Rd,Plowright Ln,06/16/2013 12:00:00 AM,06/16/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched  demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,"6
(-29.857529, 31.019141)"
224,Western Cape - City of Cape Town,1,0,Cape Town,"Cape Town, Parliament",WC - Cape Town Central,"-33.927709,18.418628",Plein Street,St John St,06/17/2013 12:00:00 AM,06/17/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched in Pretoria and Cape Town on Monday to demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,"9
(-33.927709, 18.418627)"
225,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria,GP - Pretoria Central,"-25.748427,28.18528",Bosman street,Pretorius st,06/17/2013 12:00:00 AM,06/17/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched in Pretoria and Cape Town on Monday to demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,"3
(-25.748427, 28.185279)"
552,Gauteng - Sedibeng,0,0,Heidelberg,Ratanda,GP - Ratanda,"-26.553388,28.319866",8698 Thabo Mbeki St,8698 Thabo Mbeki St,10/09/2013 12:00:00 AM,10/09/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,Angry Ratanda residents call for the dismissal of two teachers,"3
(-26.553388, 28.319866)"
242,Free State - Ngwathe,0,0,Ngwathe,Koppies,FS - Koppies,"-27.228055,27.594243",Raboroko St,Makalatsi St,06/18/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Residents went on the rampage, looting almost all the tuck-shops in the Kwakwatsi area, after the municipality apparently failed to respond to their grievances.","2
(-27.228055, 27.594242)"
248,Northern Cape - Sol Plaatjie,0,0,Kimberley,Sol Plaatje municipal gardens,NC - Kimberley,"-28.744239,24.767116",Jan Smuts Boulavard,Jan Smuts Boulavard,06/18/2013 12:00:00 AM,06/18/2013 12:00:00 AM,0,Election related,3,Violent,1,5,"DA supporters gathered early at Sol Plaatje’s Memorial, where a wreath-laying ceremony and public address by Zille were scheduled to take place. DA supporters were met by a municipal worker watering the lawn with a hosepipe, mindless of the sound-system, electrical wires and the podium. the crowd became angry, and DA supporters accusing the ANC of deliberately trying to sabotage the event.","4
(-28.744239, 24.767116)"
249,Eastern Cape - Senqu,0,0,Port Elizabeth,Sterkspruit,EC - Sterkspruit,"-30.524918,27.364592",Not applicable,Not applicable,06/18/2013 12:00:00 AM,06/18/2013 12:00:00 AM,1,Service delivery,9,Violent,1,5,"Sterkspruit residents, under the banner of the Sterkspruit Civic Association, demand a stand-alone municipality separate from the Senqu municipality, which incorporates Lady Grey and Barkly East. Other complaints related to lack of service delivery in Sterkspruit, and allegations of corruption and nepotism in the Senqu municipality.","1
(-30.524918, 27.364591)"
349,Gauteng - City of Johannesburg,1,0,Johannesburg,Sunninghill,GP - Sandton,"-26.034091,28.064666",Leeuwkop Rd,Simba Rd,06/18/2013 12:00:00 AM,06/18/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,Minopex workers' grievances included salary discrepancies. They also wanted the NUM to be recognised according to regions.,"3
(-26.034091, 28.064665)"
240,KwaZulu Natal - eThekwini,1,0,Durban,"Glebelands Reunion hostel ,Umlazi",KZN - Umlazi,"-29.9588,30.932748",Mangosuthu Highway,Mangosuthu Highway,06/19/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,3,"The offices of an Umlazi councilor were torched by disgruntled residents, The residents held a protest on Thursday complaining about service delivery. Glebelands Hostel residents demanded the immediate recall of ANC councilor, Mr. Mzobe","6
(-29.9588, 30.932748)"
238,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town Central train station,WC - Cape Town Central,"-33.92217,18.425035",Adderley St,Adderley St,06/20/2013 12:00:00 AM,06/20/2013 12:00:00 AM,1,Service delivery,9,Peaceful,0,3,Protesting against sanitation issues. Police blocked demonstrators carrying portable toilets and a bag of faeces at Cape Town Central train station on Thursday.,"9
(-33.92217, 18.425035)"
239,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town provincial legislature,WC - Cape Town Central,"-33.930626,18.432016",Keizergracht Street,keizergracht St,06/20/2013 12:00:00 AM,06/20/2013 12:00:00 AM,1,Service delivery,9,Peaceful,0,3,"Meanwhile, at the legislature, the group of women placed a clean portable toilet on the steps leading to the building’s entrance. Khayelitsha resident Nolizwi Ngcana read out the memorandum. “The refusal of the Zille government to take immediate and urgent steps to provide the people living in informal areas, decent, safe and sanitary toilets can only be described as abject genocidal neglect.” Wayne Naidoo, from the premier’s office, collected the memorandum.","9
(-33.930625, 18.432016)"
243,Free State - Ngwathe,0,0,Ngwathe,Koppies Magistrate's Court,FS - Koppies,"-27.240605,27.576515",Church Street,Church street,06/20/2013 12:00:00 AM,06/20/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"They had been protesting in support of 26 people arrested on Tuesday in connection with violent protests in Kwakwatsi. A group of about 600 protestors gathered at the court yesterday and when they heard the 26 had been denied bail, they refused to leave the premises and began stoning the police, damaging a police van.","2
(-27.240604, 27.576515)"
247,Western Cape - City of Cape Town,1,0,Cape Town,Wallacedene,WC - Kraaifontein,"-33.858283,18.733348",Billy Cl,Matshoba St,06/20/2013 12:00:00 AM,06/20/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Protests broke out in the area after residents claimed there was corruption with the allocation of RDP houses. They alleged the houses were sold to people from other areas. 55 people had been arrested on charges of public violence and were due to appear in the Kuils River Magistrates Court,"9
(-33.858283, 18.733347)"
227,Gauteng - City of Johannesburg,1,0,Johannesburg,Alexandra,GP - Alexandra,"-26.110238,28.110155",London road,M3,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Illegal protest against installation of new electric meter system,"3
(-26.110237, 28.110154)"
256,North West - Rustenburg,0,0,Rustenburg,Swartruggens,NW - Swartruggens,"-25.655071,27.221327",Swartruggens Road,Swartruggens Road,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,1,Service delivery,9,Peaceful,0,5,Cosatu North West motorcade drive slowly to the “expensive” Swartruggens toll-gate in the North West to demand that its fees be reduced.,"5
(-25.655071, 27.221326)"
257,Gauteng - City of Johannesburg,1,0,Johannesburg,Braamfontein,GP - Jeppe,"-26.202813,28.030369",M1 North,N1 North,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,1,Service delivery,9,Peaceful,0,5,Cosatu's provincial strike against Gauteng’s multibillion-rand e-tolls as its campaign opposing the controversial tolling system.,"3
(-26.202812, 28.030369)"
260,Gauteng - City of Johannesburg,1,0,Johannesburg,Soweto - Dube Hostel,GP - Dube,"-26.238501,27.89265",Mahalefele Rd,Mahalefele Rd,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Residents of Dube hostel stoned passing cars and they also damaged the KFC nearby, No one was arrested. The reason for the protest was apparently because the hostel had no electricity.","3
(-26.2385, 27.89265)"
280,Gauteng - City of Johannesburg,1,0,Johannesburg,Alexandra,GP - Alexandra,"-26.10365,28.096136",Hofmeyer Street,Hofmeyer Street,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,Residents of Alexandra protested over electricity tariffs.,"3
(-26.103649, 28.096136)"
296,Limpopo - Greater Giyani,0,1,Giyani,Ndzingindzingi,LP - Giyani,"-23.342931,30.636538",Not applicable,Not applicable,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Transport related,6,Peaceful,0,5,The community of Ndzingindzingi outside Giyani is up in arms over the increase in taxi fares by the Hlaniniki Maswanganyi Taxi Association.,"8
(-23.342931, 30.636538)"
348,Gauteng - Ekurhuleni,1,0,Brakpan,Brakpan,GP - Brakpan,"-26.235777,28.364648",Voortrekker Rd,Voortrekker Rd,06/21/2013 12:00:00 AM,06/21/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"The crippling three-week bus drivers’ strike has affected thousands of commuters in various Ekurhuleni townships. The primary demand of the drivers of the Brakpan Bus Company that they should be fully administered by the Ekurhuleni Metro Council has not been met, a compromise has been reached.  It was agreed at a meeting earlier this week that the Council would be approached to take over the company.","3
(-26.235776, 28.364647)"
265,Gauteng - Ekurhuleni,1,0,Bedfordview,Cleveland,GP - Cleveland,"-26.203363,28.114812",Myrnog St,30th St,06/22/2013 12:00:00 AM,06/22/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"The Cleveland SAPS Youth Desk took to the streets to voice their concerns regarding crime in the area. The march was aimed at raising awareness of troubles faced by youth in the area including drug and alcohol abuse, teen pregnancy and education.","3
(-26.203363, 28.114812)"
258,KwaZulu Natal - eThekwini,1,0,Durban,KwaMashu Hostel,KZN - Kwa Mashu,"-29.740556,30.983044",M21,M21,06/23/2013 12:00:00 AM,06/23/2013 12:00:00 AM,0,Election related,3,Violent,1,5,The National Freedom Party’s campaign for by-election at KwaMashu Hostel was disrupted on when an armed mob fired shots into the air and marched on the hall where NFP president Zanele kaMagwaza-Msibi was addressing supporters.,"6
(-29.740556, 30.983044)"
278,Eastern Cape - Buffalo City,0,0,East London,Buffalo city,EC - Buffalo Flats,"-33.016179,27.837079",Do not know,Do not know,06/23/2013 12:00:00 AM,06/23/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Communities demanding the eradication of bucket toilets,"1
(-33.016179, 27.837078)"
347,North West - Rustenburg,0,1,Rustenburg,"Royal Bafokeng Nation (Chaneng, Robega, Rasimone and Mafenya villages)",NW - Rustenburg,"-25.456854,27.116002",Not applicable,Not applicable,06/23/2013 12:00:00 AM,06/23/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"ANGRY community leaders in four North West villages under the Royal Bafokeng Nation’s jurisdiction protested this week against poor services and widespread unemployment among the youth. Now they not only demand “their” land back, but want a 30% stake in the mines which are said to employ labour from outside the villages.","5
(-25.456854, 27.116002)"
244,Gauteng - City of Johannesburg,1,0,Johannesburg,Johannesburg,GP - Johannesburg Central,"-26.265669,28.026656",N12,N1 South,06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,1,Transport related,6,Peaceful,0,5,Cosatu's drive slow against the implementation of e-tolling on Gauteng's high ways.,"3
(-26.265668, 28.026655)"
246,KwaZulu Natal - eThekwini,1,1,Durban,Cato Crest Ward 101,KZN - Cato Manor,"-29.795072,30.839894",King Cetshwayo Highway,King Cetshwayo  Highway,06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Residents claimed that RDP houses in the area were being allocated to people who were not Cato Crest residents, and that ward committee members were selling these houses.","6
(-29.795072, 30.839894)"
255,KwaZulu Natal - eThekwini,1,0,Durban,Mayville,KZN - Mayville,"-29.844155,30.980447",Vusi Mzimele Road,Vusi Mzimele Road,06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"The police watched as the group, estimated to number about 700 people, went on the rampage, destroying public toilets, blocking the road, and stoning motorists and police cars in protest at alleged corruption in low-cost government housing.","6
(-29.844155, 30.980447)"
603,KwaZulu Natal - eThekwini,1,0,Umlazi,Umlazi,KZN - Umlazi,"-29.966237,30.882541",Glebelands Reunion Hostel,Don't know,06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,200 disgruntled residents held a protest on Thursday complaining about service delivery.,"6
(-29.966237, 30.882541)"
245,KwaZulu Natal - eThekwini,1,0,Durban,Cato Crest Ward 30,KZN - Cato Manor,"-29.848475,30.979182",Vusi Mzimele (Bellair) Road,Vusi Mzimele (Bellair) Road,06/25/2013 12:00:00 AM,06/25/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Disgruntled Cato Crest residents in Ward 30 who want their ward councilor, Zanele Ndzoyiya, removed.","6
(-29.848475, 30.979182)"
304,Northern Cape - Richtersveld,0,1,Alexander Bay,"Trans Hex mine Baken, Bloeddrift and Reuning",NC - Alexander Bay,"-28.604382,16.486987",Do not know,Do not know,07/19/2013 12:00:00 AM,07/19/2013 12:00:00 AM,-1,Labour related,4,Peaceful,0,5,Trans Hex’s workers went on strike amid annual wage talks with the National Union of Mineworkers.,"4
(-28.604382, 16.486986)"
253,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town International Airport,WC - Cape Town Internat Airport,"-33.968673,18.594957",Aiport Approach Rd,Borcheds Quary Rd,06/25/2013 12:00:00 AM,06/25/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,The protests were linked to the apparent dissatisfaction by some communities over sanitation in informal settlements and rolling out PFTs.,"9
(-33.968673, 18.594957)"
343,Gauteng - City of Johannesburg,1,0,Johannesburg,Selby,GP - Johannesburg Central,"-26.21545,28.027291",Vlak St,Vlak St,06/25/2013 12:00:00 AM,06/25/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"More than 120 workers at Document Warehouse in Selby, southern Johannesburg, have downed tools over poor salaries.  Their payslips show that some employees earn as little as R3,000 a month, while some of them claim to have been with the company for more than 10 years.  The company archives paperwork for government, Vodacom and SAB. ","3
(-26.21545, 28.027291)"
250,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,"Korsten, Sidwell and Uitenhage",EC - Uitenhage,"-33.76279,25.421171",Graaf Reinet Rd,Graaf Reinet Rd,06/26/2013 12:00:00 AM,06/26/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,About 30 staff members were striking because of salary gradings.,"1
(-33.76279, 25.421171)"
252,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,Feather Market hall,EC - Humewood,"-33.961984,25.623131",Baakens St,Baakens St,06/26/2013 12:00:00 AM,06/26/2013 12:00:00 AM,0,Election related,3,Peaceful,0,5,"A group of disgruntled Nelson Mandela Bay branch members protested outside the city hall, accusing the party’s regional leaders of manipulating their branch meeting. The members of Ward 41, which is the ANC’s biggest branch in the Bay, claim the party’s Bay regional secretary Zandisile Qupe and Constituency Coordinator Fikile Desi held a meeting which did not have a quorum.","1
(-33.961984, 25.623131)"
317,Limpopo - Vhembe,0,1,Makhado,Davhana,LP - Vuwani,"-23.20688,30.459537",R578,R578,06/26/2013 12:00:00 AM,06/26/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,Communities from the six villages in the Davhana area are up in arms against what they term corrupt and dictatorial rule by the local Davhana traditional council. One of the point of contention was when 32 people who are to work in one of the local forestry projects were employed without following the correct procedures,"8
(-23.20688, 30.459537)"
267,Gauteng - City of Johannesburg,1,0,Johannesburg,Klipspruit West,GP - Eldorado Park,"-26.289384,27.881249",Daisy Rd,Calendula St,06/27/2013 12:00:00 AM,06/27/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"As the world celebrated International Day Against Drug Abuse on Wednesday, residents of Klipspruit West in Eldorado Park and Gauteng Community Safety MEC Faith Mazibuko took to the streets of the township. The march was in memory of 28-year-old Tracey-Lee Martins, who was killed on April 27, allegedly by men she had grown up with who wanted a “quick drug fix”.","3
(-26.289383, 27.881249)"
345,KwaZulu Natal - eThekwini,1,0,Durban,"Durban, King Dinizulu statue",KZN - Durban Central,"-29.857493,31.028556",West street,West Street,06/27/2013 12:00:00 AM,06/27/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"Members of South African Democratic Teachers' Union (Sadtu) march in Durban against social ills such as rape and substance abuse.  The march also highlight the relationship between drug abuse, rape, teenage pregnancy and HIV/Aids prevalence.","6
(-29.857493, 31.028555)"
346,Limpopo - Polokwane,0,0,Polokwane,Polokwane,LP - Polokwane,"-23.900297,29.450636",Excelsior Street,Landros street,06/27/2013 12:00:00 AM,06/27/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"Blind and partially sighted people took to the streets of Polokwane yesterday to protest against being overlooked for job opportunities and to highlight their plight.  Police were on hand to guide the group of about 150 marchers at the start of the march to Premier Cassel Mathale’s office.  The marchers demanded that the government offer them employment and accessibility-enhancing devices, including speech-enabled lifts with Braille buttons and specially designed steps.","8
(-23.900296, 29.450635)"
251,Gauteng - City of Tshwane,1,0,Pretoria,"Pretoria, US Embassy",GP - Brooklyn,"-25.745919,28.222985",Pretorious St,Eastwood St,06/28/2013 12:00:00 AM,06/28/2013 12:00:00 AM,0,Political causes,5,Peaceful,0,5,"Activists from various groups marched to the US embassy in Pretoria on Friday, protesting against President Barack Obama.","3
(-25.745919, 28.222985)"
266,Gauteng - Ekurhuleni,1,0,Ekurhuleni,Germiston,GP - Germiston,"-26.21816,28.164508",Cross street,Rose street,06/28/2013 12:00:00 AM,06/28/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"Employees of a private security company, which does work for the Ekurhuleni Metro on a tender basis, protested on the premises of the service delivery centre.","3
(-26.21816, 28.164508)"
555,Gauteng - Emfuleni,0,0,Vanderbijlpark,Sharpeville,GP - Sharpeville,"-26.687343,27.869049",Seeiso st,Zwane st,06/28/2013 12:00:00 AM,06/28/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,Marchers took the streets of Sharpeville on Friday June 28 against the use of substance abuse.,"3
(-26.687342, 27.869049)"
264,Gauteng - City of Johannesburg,1,0,Johannesburg,University of Johannesburg Soweto campus,GP - Protea Glen,"-26.260597,27.923592",Chris Hani road,Chris Hani road,06/29/2013 12:00:00 AM,06/29/2013 12:00:00 AM,0,Political causes,5,Peaceful,0,5,Police officers fired a stun grenade at a group of protestors near the entrance of the University of Johannesburg Soweto campus ahead of US President Barack Obama's visit there. Obama was due to address young people at an event at the Soweto campus. Protesters rallying against President Barack Obama's visit to South Africa.,"3
(-26.260597, 27.923591)"
344,Gauteng - Ekurhuleni,1,0,Johannesburg,OR Tambo Int Aiport,GP - Int Airport Jhb,"-26.135051,28.228891",R21,OR Tambo Rd,06/29/2013 12:00:00 AM,06/29/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,A group of 11 lieutenants-colonel in charge of operations at OR Tambo International Airport have obtained an urgent court interdict to stop their transfer from the border police unit to several police stations in Gauteng.  They approached the Labour Court this week after they were issued with letters of transfer from their posts and were “locked out” for more than a week,"3
(-26.135051, 28.228891)"
261,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha,WC - Khayelitsha,"-34.039985,18.67393",R300,N2 highway,07/01/2013 12:00:00 AM,07/01/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Protesters blocked a portion of the N2 highway in Khayelitsha with toilet pots full of faeces and burning tyres. The incident follows a spate of protests about sanitation in Cape Town that has resulted in numerous closures of the N2 and a number of arrests for dumping human waste. Some 184 people were arrested for public violence in Woodstock last month and nine men on Tuesday for dumping human waste at Cape Town International Airport.,"9
(-34.039985, 18.673929)"
269,Gauteng - City of Tshwane,1,0,Hammanskraal,Temba municipal offices,GP - Temba,"-25.399557,28.259501",Lucas Mangope Dr,Lucas Mangope Dr,07/01/2013 12:00:00 AM,07/03/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,The crowd had begun its protests to express anger about an employment selection process for the Magalies water project. The project is part of the upgrading of the Magalies water treatment plant.,"3
(-25.399557, 28.259501)"
262,Gauteng - City of Tshwane,1,0,Pretoria,Hatfield,GP - Brooklyn,"-25.743229,28.246858",End street,N1 South,07/02/2013 12:00:00 AM,07/02/2013 12:00:00 AM,0,Transport related,6,Peaceful,0,5,Cosatu drive slow convoy against e-tolls. The labour federation continues to call on motorists not to register for e-tags.,"3
(-25.743228, 28.246858)"
